lii,bii,t90
301.87,-27.58,
304.19,-28.28,   0.240
305.12,-26.67,  30.144
301.67,-25.25,   8.384
305.78,-25.75,   3.328
298.09,-24.59,  73.472
309.09,-26.86,  36.992
308.19,-30.69,  13.184
308.2,-31.83, 328.448
301.48,-20.37,
299.43,-33.62,
310.85,-29.08,   7.296
307.69,-33.49,  69.504
305.63,-19.89,  34.880
293.98,-28.85,
296.98,-20.36,  21.248
305.38,-35.83,  81.472
298.14,-35.57,   0.675
293.07,-30.89,  33.024
298.8,-35.91,   0.128
293.68,-22.41,  26.720
313.82,-27.54,
293.55,-22.33,
305.52,-17.64,  68.032
307.97,-17.78,
314.8,-27.44,   0.768
312.89,-21.38,  67.840
311.04,-18.79,   1.039
315.03,-21.48,   3.904
292.84,-36.73,   0.896
310.3,-16.06,  11.712
312.23,-17.11,   2.284
317.19,-31.69,
292.29,-36.99,
308.45,-14.79,
313.79,-36.98,  49.472
315.22,-35.77,   0.640
316.22,-35.72,  70.976
319.04,-28.72,  60.800
288.17,-33.77,   0.128
289.57,-36.18,  31.232
315.92,-18.43,  56.064
313.65,-15.95,  96.128
313.53,-39.24,   6.016
300.22,-42.25,  13.696
294.39,-40.79,
306.24,-12.05,   0.304
294.62,-13.82,  18.112
315.85,-17.14,   1.461
295.28,-41.82,  17.408
284.91,-28.93,   0.637
318.41,-19.7,  17.344
285.42,-23.32,   0.960
315.61,-39.54,   0.512
285.53,-22.94,   0.075
285.69,-22.47,   0.896
312.59,-13.33,
288.36,-17.23,  19.904
306.23,-10.69,   1.984
300.98,-44.08,  13.056
321.13,-22.63,
295.04,-43.06,
311.21,-11.69,   2.176
289.69,-40.67,   0.164
286.94,-38.35,  14.400
293.5,-11.92,
314.66,-41.95,   0.896
322.5,-32.65,   5.248
283.36,-32.77,
320.41,-19.15,  82.880
319.61,-17.52,   0.620
319.93,-38.79, 181.088
303.26,-45.51,   0.064
299.29,-8.34,
316.5,-12.27,   1.792
281.73,-34.36,   0.240
287.71,-13.38,   1.439
312.88,-9.66,  69.472
291.5,-10.35,  28.928
281.48,-21.81,
280.44,-25.26,  41.984
316.92,-44.02,   9.344
318.94,-13.08,   0.359
325.63,-23.42,   0.464
319,-12.63,
279.29,-31.01,
317.89,-11.38,
282.62,-17.13,   2.816
279.85,-36.05,  66.976
281.7,-39.69,
319.1,-44.48,  13.312
303.14,-48.81,  57.280
314.84,-46.75, 189.952
320.46,-12.69,   3.200
327.1,-23.91,
323.03,-41.92,  10.528
319.27,-45.03,
310.71,-48.67,   1.920
284.1,-43.56,
293.54,-48.32,   0.832
305.66,-4.74,  20.544
304.06,-49.8,   2.970
301.85,-49.98,  30.336
329.08,-28.89,   0.452
293.95,-5.54,  38.720
277.14,-24.87,
293.16,-5.76,  83.072
328.33,-22.26,  32.000
321.82,-11.56,
289.54,-48.34,  43.648
279.19,-40.6, 356.672
328.14,-21.04,   6.592
294.09,-4.9,
318.37,-8.28,  14.528
285.23,-10.05,
289.1,-48.47,  40.320
288.32,-7.63,
295.81,-50.53,   0.320
311.95,-4.69,  32.032
330.16,-29.71,   0.624
291.25,-5.67,   0.176
312.74,-4.81,
325.72,-15.34,
289.61,-6.18,   2.432
301.15,-2.67,  21.024
330.04,-24.2,   9.280
331.06,-31.6,  48.320
275.61,-36.94,   0.052
331.05,-26.3,  39.232
320.83,-8.52,   9.600
324.31,-45.8, 102.912
282.72,-10.48, 182.784
326.66,-43.75, 132.256
298.66,-2.1,   1.280
290.89,-4.51,   0.055
312.26,-3.38,   9.984
329.32,-19.25,  18.880
274.56,-25.22,   8.512
285.88,-48.97,  27.456
280.03,-13.05,
292.28,-3.4,  50.368
275.66,-19.7,
332.15,-26.27,  33.216
315.24,-3.8,  32.256
273.35,-27.21,  34.688
274.45,-38.62,  52.096
311.95,-2.16,
324.03,-47.8,  52.416
332.89,-28.32,  45.888
305.37,-0.75,  92.704
330.45,-18.98,  21.248
281.11,-47.66,  30.400
303.87,-53.87, 116.032
300.38,-0.47,  31.168
278.32,-13.27,  48.384
273.43,-37.83,  19.200
302.2,-54.07,
322.66,-7.71,  35.264
286.75,-51.15,   5.504
332.48,-37.88,  10.112
278.24,-13.13,  31.104
308.42,-53.82,   1.958
294.91,-53.61,  61.216
320.49,-50.77,  37.056
313.29,-1.83, 221.184
329.08,-14.92,   0.564
302.63,0.17,  68.352
302.96,-54.46,  35.328
318,-52.09,
283.08,-7.13,   9.472
305.57,0.37,  86.336
333.32,-23.65,
324.92,-8.85,   7.040
322.73,-6.72,   0.960
325.71,-9.41,
277.97,-11.93,  15.808
323.63,-7.2,
322.28,-5.98,   0.384
276.34,-45.86,   0.419
310.55,0.16,   0.602
335.24,-32.48, 112.192
308.01,1.12,
313.2,-0.19,  52.416
331.2,-15.49,
326.83,-49.22, 134.496
272.27,-41.9,  25.472
271.48,-40.41,   1.280
272.33,-19.3,
303.49,-56.31,  30.720
333.97,-41.59,   0.364
270.16,-36.86,   0.583
314.1,-55.52,   1.408
325.11,-6.44,   1.152
322.71,-4.34,  66.560
269.18,-30.18, 253.952
288.9,-55.06,   0.448
282.44,-52.89,
280.74,-5.76,  49.152
313.79,1.22,  36.864
307.21,2.81,  33.024
288.71,-0.12,
309.56,2.47,   8.896
311.84,1.98,
274.33,-12.44,   2.368
269.2,-23.42,   5.184
319.29,-0.79,
269.79,-20.84,
316.97,0.68,  72.512
311.26,-57.5,  60.032
271.12,-16.96,  81.728
275.57,-50.49,
274.81,-10.41,
270.5,-17.31,  22.656
278.47,-52.85,  90.176
324.65,-3.36,
268.07,-40.28,  13.824
276.52,-7.67,  48.064
307.53,-58.72,  13.568
329.4,-7.59,   4.864
334.45,-47.26,   0.240
288.68,1.58,  44.736
286.79,0.81,   0.192
334.33,-14.17,  12.800
290,2.35,  67.392
277.43,-5.95,   0.248
333.9,-12.88,
267.43,-41.26,
339.23,-26.34,  26.240
338.3,-41.86,   9.408
277.75,-53.73,  31.488
281.74,-55.79,  16.832
268.84,-18.41,   1.973
332.86,-10.78,  57.984
278.2,-54.39,  54.336
323.15,-56.52,  20.736
333.26,-10.94,   3.264
332.75,-50.92,  12.224
340.55,-33.66,  12.672
337.12,-17.27,
337.77,-18.42,  11.392
312.04,4.84,  42.752
285.22,1.34,  13.312
331.13,-53,  23.552
270.93,-49.9,
338.65,-19.78,  79.296
311.7,5.3, 253.280
270.36,-12.93,  53.824
282.2,0.01,  20.544
285.18,1.89,   0.192
336.79,-48.45,   6.528
264.31,-35.8,  28.096
318.43,3.21, 114.112
292.45,5.24,  70.656
341.67,-29.63,   3.456
281.44,-0.04,  76.256
295.72,6.27,
335.81,-11.98,
341.81,-38.9, 129.024
289.37,4.77,
277.08,-56.23,
282.32,1.14,
272.21,-8.42,   0.608
264.03,-26.16,   0.901
341.53,-24.66,   0.768
322.15,-59.17,  11.520
